fid,latitude,longitude,TOTAL_SCORE,cluster
1,42.32298104,-71.05615038,64,22
2,42.32284355,-71.05614714,59,22
3,42.32205178,-71.05612969,61,22
4,42.32193456,-71.05605537,60,22
5,42.32180122,-71.05605287,60,22
6,42.32175654,-71.05605164,60,22
7,42.32328424,-71.05627296,51,22
8,42.32200039,-71.05561216,51,22
9,42.32206774,-71.0556133,51,22
10,42.32234569,-71.05561684,71,22
11,42.32267949,-71.055623,51,22
12,42.32144075,-71.05610207,53,22
13,42.32144275,-71.05599263,51,22
14,42.31962194,-71.05809975,59,23
15,42.31946797,-71.0591382,57,23
16,42.3198165,-71.05850802,59,23
17,42.32013638,-71.05734241,59,23
18,42.31927646,-71.05944009,59,23
19,42.31906251,-71.05950154,51,23
20,42.3206752,-71.06025387,59,23
21,42.32061378,-71.0589345,59,23
22,42.3209195,-71.0594862,59,23
23,42.3209616,-71.05975303,59,23
24,42.3211425,-71.06048086,65,23
25,42.32118657,-71.06055861,65,23
26,42.32122366,-71.06068128,65,23
27,42.32191323,-71.05988527,61,23
28,42.32164402,-71.05910604,59,23
29,42.32152318,-71.05876225,59,23
30,42.32131594,-71.05801876,57,23
31,42.32114213,-71.05824096,57,23
32,42.3212888,-71.05861561,69,23
33,42.3214102,-71.05893226,51,23
34,42.32189434,-71.06006557,60,23
35,42.32227241,-71.05930262,59,23
36,42.32211171,-71.05962396,60,23
37,42.32216426,-71.05977276,51,23
38,42.32241781,-71.0605038,61,23
39,42.32246482,-71.06064142,58,23
40,42.32067175,-71.05865021,60,23
41,42.32079989,-71.05814974,57,23
42,42.3208425,-71.05802392,57,23
43,42.32227177,-71.05705787,61,23
44,42.32274792,-71.05923256,51,23
45,42.32324714,-71.0602084,59,23
46,42.32327774,-71.05988997,51,23
47,42.32258782,-71.0577272,57,23
48,42.32284897,-71.05727422,51,23
49,42.32303666,-71.05789102,57,23
50,42.32358097,-71.05933464,60,23
51,42.32383132,-71.05981407,59,23
52,42.32389785,-71.05938883,51,23
53,42.32375726,-71.05887744,51,23
54,42.32371834,-71.05873863,59,23
55,42.3234702,-71.05782188,61,23
56,42.32338013,-71.05749464,57,23
57,42.32374959,-71.05735346,58,23
58,42.32394874,-71.05808153,60,23
59,42.32402236,-71.05835087,57,23
60,42.32423996,-71.058083,59,23
61,42.32482359,-71.05909121,66,23
62,42.32517735,-71.05892479,59,23
63,42.3247071,-71.0572976,66,23
64,42.3253284,-71.05810126,59,23
65,42.32556557,-71.05810339,59,23
66,42.32634387,-71.05794375,66,23
